name,address,type,coordinates,coordinates
"Венец / none","Советская ул., 19/9"," Бесплатный Wi-Fi",54.3200753,48.401434
"Шоколадница / none","Аквамолл( Московское ш., 108)"," Wi-Fi без пароля",54.3059005,48.3574729
"Емеля / none","ул. Федерации, 4"," Бесплатный Wi-Fi",54.3203686,48.39231
"IL Патио / none","ул. Карла Маркса, 4а"," Бесплатный Wi-Fi",54.3174001,48.3978403
"Сушка (Sушkа) / none","ул. Гончарова, д. 30"," Бесплатный Wi-Fi",54.3167831,48.3944153
"Автопицца / none","ул. Луначарского, д. 8"," Бесплатный Wi-Fi",54.2632269,48.3282197
"Хацумо / none","Аквамолл( Московское ш., 108)"," Wi-Fi без пароля",54.3059005,48.3574729
"Оптимус / 101","
Ульяновский пр., 16"," Wi-Fi без пароля",54.3370637,48.283125
"Братик Томатик / none","ул. Гончарова, 22"," Бесплатный Wi-Fi",54.3150339,48.394101
"Барселона / none","ул. Бебеля, 45"," Бесплатный Wi-Fi",54.3152121,48.3891773
"McDonald's / none","Московское ш., 91а"," Бесплатный Wi-Fi",54.3051521,48.3502033
"POLDENЬ / none","ул. Карла Маркса, д. 6а"," Бесплатный Wi-Fi",54.3180822,48.39685
"Аэропорт Ульяновск имени Н.М. Карамзина (ULK)/ Ulyanovsk Airport (Baratayevka) / none","ул. Авиационная, 20"," Бесплатный Wi-Fi",54.2866872,48.231323
"Coffee Bean / none","ул. Карла Маркса, 6"," Бесплатный Wi-Fi",54.3178591,48.3971872
"Coffee Bean / none","Аквамолл( Московское ш., 108)"," Бесплатный Wi-Fi",54.3059005,48.3574729
"Cafeletto / none","ул. Карла Маркса, 6а"," Бесплатный Wi-Fi",54.3180822,48.39685
"Железнодорожный вокзал Ульяновск-Центральный / none","ул. Локомотивная, 96"," Бесплатный Wi-Fi",54.3181652,48.3289994
"Усадьба / none","пер. Охотничий, 15"," Wi-Fi без пароля",54.2644621,48.3380773
"Пушкаревское Кольцо / none","ул. Московское шоссе, д. 91"," Бесплатный Wi-Fi",54.3049522,48.3485132
"Кошкина пижама / none","ул. Ленина, 78"," Wi-Fi без пароля",54.3049522,48.3485132
"Белуга / none","Александровская ул., 60, корп. 1"," Бесплатный Wi-Fi",54.2739074,48.2623386
