Марка,Модель,Год выпуска,Объем двигателя л.,л.с.,топливо,КПП,Привод,Цена
Audi, A4 ,2012,1.8,170,бензин,вариатор,передний,1050000
Audi, Q3 ,2018,2.0,180,бензин,робот,4WD,2550000
Audi, Q7 ,2020,3.0,249,дизель,АКПП,4WD,6999000
Audi, A6 allroad quattro ,2015,3.0,245,дизель,робот,4WD,2750000
Audi, A4 ,2005,2.0,130,бензин,вариатор,передний,499000
Audi, Q7 ,2017,3.0,249,дизель,АКПП,4WD,5329000
Audi, Q5 ,2014,3.0,272,бензин,АКПП,4WD,1650000
Audi, Q7 ,2006,4.2,350,бензин,АКПП,4WD,450000
Audi, Q5 ,2019,2.0,249,бензин,робот,4WD,3150000
Audi, Q3 ,2019,1.4,150,бензин,робот,передний,2849000
Audi, A4 ,2018,1.4,150,бензин,робот,передний,2217800
Audi, A6 allroad quattro ,2006,3.1,255,бензин,АКПП,4WD,770000
Audi, 80 ,1987,1.8,90,бензин,механика,передний,200000
Audi, Q3 ,2011,2.0,211,бензин,робот,4WD,1250000
Audi, 80 ,1984,90,none,,,,
Audi, Q3 ,2012,2.0,177,дизель,робот,4WD,1400000
Audi, Q3 ,2021,2.0,180,бензин,робот,4WD,4216000
Audi, A4 ,2015,1.8,170,бензин,вариатор,передний,1549000
Audi, Q5 ,2010,2.0,211,бензин,робот,4WD,1150000
Audi, Q7 ,2009,4.2,350,бензин,АКПП,4WD,1149000
